"Name.of.Covered.Entity","State","Covered.Entity.Type","Individuals.Affected","Breach.Submission.Date","Type.of.Breach","Location.of.Breached.Information"
"The Center for Facial Restoration, Inc.","FL","Healthcare Provider",3600,2019-12-26,"Hacking/IT Incident","Network Server"
"PediHealth, PLLC, dba Children's Choice Pediatrics","TX","Healthcare Provider",12689,2019-12-20,"Hacking/IT Incident","Network Server"
"Roosevelt General Hospital","NM","Healthcare Provider",28847,2019-12-19,"Hacking/IT Incident","Network Server"
"Texas Family Psychology Associates, P.C.","TX","Healthcare Provider",12000,2019-12-17,"Unauthorized Access/Disclosure","Electronic Medical Record"
"INTEGRIS Health, Inc.","OK","Healthcare Provider",500,2019-12-16,"Loss","Other Portable Electronic Device"
"Sinai Health System","IL","Healthcare Provider",12578,2019-12-13,"Hacking/IT Incident","Email"
"Marion Eye Center, LTD.","IL","Healthcare Provider",811,2019-12-13,"Loss","Paper/Films"
"Jewish Social Service Agency","MD","Healthcare Provider",3145,2019-12-12,"Hacking/IT Incident","Email"
"Anwan Wellness LLC","GA","Healthcare Provider",530,2019-12-09,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Adventist Health Simi Valley","CA","Healthcare Provider",62000,2019-12-06,"Hacking/IT Incident","Email"
"Children’s Hope Alliance","NC","Healthcare Provider",1002,2019-12-06,"Theft","Laptop"
"Beech Brook","OH","Healthcare Provider",2636,2019-12-06,"Hacking/IT Incident","Email"
"Speight Family Medical, LLC","TN","Healthcare Provider",2000,2019-12-06,"Hacking/IT Incident","Network Server"
"Equinox, Inc.","NY","Healthcare Provider",1021,2019-12-06,"Hacking/IT Incident","Email"
"Sunrise Community Health","CO","Healthcare Provider",7668,2019-12-05,"Hacking/IT Incident","Email"
"Walgreen Co.","IL","Healthcare Provider",3700,2019-12-03,"Hacking/IT Incident","Electronic Medical Record, Other"
"RiverKids Pediatric Home Health","TX","Healthcare Provider",10000,2019-12-02,"Hacking/IT Incident","Email"
"Nebraska Medicine","NE","Healthcare Provider",1149,2019-11-27,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Ivy Rehab Network, Inc. and its affiliated companies","NY","Healthcare Provider",125000,2019-11-26,"Hacking/IT Incident","Email"
"Illinois Gastroenterology Group, LLC","IL","Healthcare Provider",1481,2019-11-25,"Hacking/IT Incident","Email"
"Penn-Mar Human Services","MD","Healthcare Provider",536,2019-11-25,"Hacking/IT Incident","Email"
"GeneDx, Inc. ","NJ","Healthcare Provider",851,2019-11-22,"Hacking/IT Incident","Network Server, Other"
"Southeastern Minnesota Oral & Maxillofacial Surgery","MN","Healthcare Provider",80000,2019-11-22,"Hacking/IT Incident","Network Server"
"OmniSeq, Inc.","NY","Healthcare Provider",3977,2019-11-21,"Hacking/IT Incident","Email"
"VA St. Louis Health Care System","MO","Healthcare Provider",595,2019-11-21,"Unauthorized Access/Disclosure","Paper/Films"
"Saint Francis Medical Center","MO","Healthcare Provider",107054,2019-11-20,"Hacking/IT Incident","Electronic Medical Record, Network Server"
"Human Services, Inc.","PA","Healthcare Provider",1559,2019-11-18,"Hacking/IT Incident","Email"
"Solara Medical Supplies, LLC","CA","Healthcare Provider",114007,2019-11-13,"Hacking/IT Incident","Email"
"University of North Carolina at Chapel Hill School of Medicine","NC","Healthcare Provider",3716,2019-11-12,"Hacking/IT Incident","Email"
"Outreach Health Services","TX","Healthcare Provider",500,2019-11-08,"Hacking/IT Incident","Email"
"The Brooklyn Hospital Center","NY","Healthcare Provider",26312,2019-11-01,"Hacking/IT Incident","Network Server"
"Washington University School of Medicine","MO","Healthcare Provider",3237,2019-11-01,"Unauthorized Access/Disclosure","Email, Laptop"
"Betty Jean Kerr People's Health Centers","MO","Healthcare Provider",152000,2019-10-25,"Hacking/IT Incident","Network Server"
"Corpus Christi Tots & Teens Pediatrics","TX","Healthcare Provider",31787,2019-10-24,"Hacking/IT Incident","Network Server"
"Kalispell Regional Healthcare","MT","Healthcare Provider",140209,2019-10-22,"Hacking/IT Incident","Email"
"Buckhead Smile Center, P.C.","GA","Healthcare Provider",1655,2019-10-17,"Unauthorized Access/Disclosure","Email"
"Walmart Inc.","AR","Healthcare Provider",4211,2019-10-17,"Loss","Other Portable Electronic Device"
"Humana Inc ","KY","Health Plan",756,2019-10-02,"Unauthorized Access/Disclosure","Email"
"CHI Health Orthopedics Clinic -Lakeside","NE","Healthcare Provider",48000,2019-09-30,"Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server"
"Choctaw Nation Health Service Authority","OK","Healthcare Provider",500,2019-09-27,"Hacking/IT Incident","Email"
